Week,Day,Date,Time,Result,Home,Opp,TmScore,OppScore,1stDOff,TotYdOff,PassYOff,RushYOff,TOL,1stDDef,TotYdDef,PassYDef,RushYDef,TOG,TwtCount,Weather
1,Sun,9/11/2016,1:05PM ET,L,y,Minnesota Vikings,16,25,19,316,252,64,3,15,301,236,65,,,
2,Sun,9/18/2016,1:02PM ET,W,n,Detroit Lions,16,15,22,363,224,139,1,22,375,238,137,1,,
3,Sun,9/25/2016,1:02PM ET,L,y,Oakland Raiders,10,17,19,393,212,181,3,17,368,245,123,1,,
4,Sun,10/2/2016,1:02PM ET,L,n,Houston Texans,20,27,16,320,196,124,1,21,359,244,115,2,,
5,Sun,10/9/2016,1:02PM ET,W,n,Miami Dolphins,30,17,23,398,163,235,,8,200,149,51,2,,
6,Sun,10/16/2016,1:02PM ET,W,y,Cleveland Browns,28,26,19,407,270,137,1,16,341,301,40,,,
7,Sun,10/23/2016,1:02PM ET,L,y,Indianapolis Colts,26,34,26,331,207,124,1,26,422,341,81,,,
8,Thu,10/27/2016,8:26PM ET,W,y,Jacksonville Jaguars,36,22,25,494,280,214,,27,370,322,48,1,,
9,Sun,11/6/2016,4:25PM ET,L,n,San Diego Chargers,35,43,24,393,313,80,3,31,476,268,208,,,
10,Sun,11/13/2016,1:00PM ET,W,y,Green Bay Packers,47,25,19,446,292,154,,21,402,333,69,3,,
11,Sun,11/20/2016,1:00PM ET,L,n,Indianapolis Colts,17,24,20,351,254,97,,18,327,251,76,1,,
12,Sun,11/27/2016,1:00PM ET,W,n,Chicago Bears,27,21,18,375,226,149,,25,411,316,95,2,,
14,Sun,12/11/2016,1:00PM ET,W,y,Denver Broncos,13,10,16,253,73,180,,19,348,330,18,2,,
15,Sun,12/18/2016,1:00PM ET,W,n,Kansas City Chiefs,19,17,21,389,241,148,3,13,316,159,157,1,,
16,Sat,12/24/2016,1:00PM ET,L,n,Jacksonville Jaguars,17,38,19,263,205,58,1,25,415,331,84,1,,
17,Sun,1/1/2017,1:00PM ET,W,y,Houston Texans,24,17,16,236,133,103,1,20,289,243,46,1,,
1,Sun,9/10/2017,1:00PM ET,L,y,Oakland Raiders,16,26,21,350,255,95,0,22,359,250,109,0,,
2,Sun,9/17/2017,1:00PM ET,W,n,Jacksonville Jaguars,37,16,21,390,211,179,1,20,310,211,99,3,,
3,Sun,9/24/2017,4:05PM ET,W,y,Seattle Seahawks,33,27,21,420,225,195,0,24,433,364,69,0,,
4,Sun,10/1/2017,1:00PM ET,L,n,Houston Texans,14,57,9,195,109,86,5,33,445,272,173,1,,
5,Sun,10/8/2017,1:00PM ET,L,n,Miami Dolphins,10,16,14,188,119,69,2,12,178,78,100,2,,
6,Mon,10/16/2017,8:30PM ET,W,y,Indianapolis Colts,36,22,25,473,305,168,1,18,297,212,85,1,,
7,Sun,10/22/2017,1:00PM ET,W,n,Cleveland Browns,12,9,16,269,189,80,1,19,284,218,66,3,,
9,Sun,11/5/2017,1:00PM ET,W,y,Baltimore Ravens,23,20,14,257,186,71,1,24,341,268,73,2,,
10,Sun,11/12/2017,1:00PM ET,W,y,Cincinnati Bengals,24,20,27,416,236,180,2,15,308,255,53,2,,
11,Thu,11/16/2017,8:25PM ET,L,n,Pittsburgh Steelers,17,40,17,316,264,52,4,25,349,284,65,,,
12,Sun,11/26/2017,1:00PM ET,W,n,Indianapolis Colts,20,16,19,276,184,92,2,15,254,165,89,1,,
13,Sun,12/3/2017,1:00PM ET,W,y,Houston Texans,24,13,19,344,146,198,1,24,384,331,53,1,,
14,Sun,12/10/2017,4:05PM ET,L,n,Arizona Cardinals,7,12,14,204,139,65,2,16,261,125,136,,,
15,Sun,12/17/2017,4:25PM ET,L,n,San Francisco 49ers,23,25,23,328,238,90,1,23,414,363,51,,,
16,Sun,12/24/2017,1:00PM ET,L,y,Los Angeles Rams,23,27,19,366,269,97,1,20,402,286,116,1,,
17,Sun,12/31/2017,4:25PM ET,W,y,Jacksonville Jaguars,15,10,11,232,116,116,1,13,229,146,83,4,,
